  563021881 function calls (543904580 primitive calls) in 3155.995 seconds

  Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   353282    0.399    0.000    3.185    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/driver.py:631(_session)
  9610985    3.006    0.000    3.006    0.000 {built-in method _codecs.utf_8_decode}
  1766410    2.909    0.000    2.911    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/hydration/_common.py:96(__init__)
  2119692    1.504    0.000    2.871    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_conf.py:280(set_attr)
   353282    1.709    0.000    2.845    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/driver.py:1387(_normalize_notifications_config)
 16429618    2.819    0.000    2.819    0.000 {built-in method builtins.len}
   353282    1.090    0.000    2.786    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/session.py:110(__init__)
  2826256    1.505    0.000    2.681    0.000 {built-in method builtins.next}
   353282    0.984    0.000    2.677    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:202(on_attached)
  1413128    1.326    0.000    2.634    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
   353282    0.636    0.000    2.418    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/transaction.py:42(__init__)
 11685633    2.343    0.000    2.343    0.000 {method 'extend' of 'bytearray' objects}
  1413128    0.968    0.000    2.342    0.000 /usr/lib/python3.12/contextlib.py:132(__enter__)
  1413128    1.975    0.000    2.328    0.000 /usr/lib/python3.12/contextlib.py:104(__init__)
   706564    0.952    0.000    2.135    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_work/summary.py:142(__getattr__)
   706564    0.952    0.000    2.082    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_bolt5.py:99(_on_client_state_change)
   120776    0.929    0.000    2.020    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_work/summary.py:517(_from_metadata)
  3532820    2.004    0.000    2.012    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/graph/__init__.py:209(__init__)
   353282    1.237    0.000    1.986    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_bolt5.py:1114(enrich)
   111729    0.163    0.000    1.928    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_common.py:241(on_records)
   706564    0.908    0.000    1.922    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_bolt5.py:88(_on_server_state_change)
 10187732    1.878    0.000    1.882    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:87(<genexpr>)
   353282    0.942    0.000    1.875    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_pool.py:274(_re_auth_connection)
  2576081    1.371    0.000    1.854    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:177(_pack_string_header)
  5169406    1.139    0.000    1.728    0.000 /usr/lib/python3.12/functools.py:421(_unwrap_partial)
  3188585    1.259    0.000    1.717    0.000 /usr/lib/python3.12/enum.py:202(__get__)
 15281598    1.656    0.000    1.656    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:91(<genexpr>)
